Ingredient #1,Ingredient #2,"Combi Boost",known?
Apple,Anise,3,0
Apple,Banana,1,1
Apple,Bones,-2,0
Apple,Cheese,2,0
Apple,Cherry,3,1
Apple,Cinnamon,3,0
Apple,Coconut,2,0
Apple,Eye,-2,0
Apple,FishBone,-2,0
Apple,Ginger,1,0
Apple,Gooseberry,2,0
Apple,GrapesGreen,2,0
Apple,GrapesRed,2,0
Apple,Kiwi,1,0
Apple,Lemon,2,0
Apple,Lime,2,0
Apple,Mandragora,-3,0
Apple,Mayonnaise,-1,0
Apple,Melon,2,0
Apple,Nutmeg,2,0
Apple,Nuts,2,0
Apple,Onion,1,0
Apple,Orange,1,0
Apple,Papaya,2,0
Apple,Pomegranate,2,0
Apple,Pork,2,0
Apple,Sugar,1,0
Apple,Vanilla,2,0
Apple,Watermelon,2,0
Avocado,Beans,3,0
Avocado,Beef,1,0
Avocado,BellPepper,2,0
Avocado,Bones,-2,0
Avocado,Broccoli,2,0
Avocado,Cheese,1,0
Avocado,Chicken,1,0
Avocado,Coffee,-1,0
Avocado,Corn,2,0
Avocado,Cream,1,0
Avocado,Cucumber,2,0
Avocado,Egg,1,0
Avocado,Eye,-2,0
Avocado,FishBone,-2,0
Avocado,Garlic,1,0
Avocado,Ginger,1,0
Avocado,Lemon,3,0
Avocado,Lime,4,0
Avocado,Mandragora,-3,0
Avocado,Mayonnaise,4,0
Avocado,Meat,1,0
Avocado,Nori,1,0
Avocado,Oil,1,0
Avocado,Oysters,1,0
Avocado,Paprika,1,0
Avocado,Pepper,2,0
Avocado,Pineapple,3,0
Avocado,Pork,1,0
Avocado,RedPepper,2,0
Avocado,Rice,2,0
Avocado,Salad,2,0
Avocado,Salt,1,0
Avocado,Shrimp,1,0
Avocado,Sugar,-1,0
Avocado,Tea,-2,0
Avocado,Tomato,2,0
Avocado,Vinegar,1,0
Avocado,Yogurt,-3,0
Banana,Apple,1,1
Banana,Bones,-2,0
Banana,Butter,1,0
Banana,Caviar,-1,0
Banana,Cherry,2,1
Banana,Cinnamon,1,0
Banana,Cocoa,1,0
Banana,Coconut,2,0
Banana,CoconutMilk,1,0
Banana,Cream,1,0
Banana,Eye,-2,0
Banana,FishBone,-2,0
Banana,Flour,1,1
Banana,GrapesGreen,1,0
Banana,GrapesRed,1,0
Banana,GreenOnion,-1,0
Banana,Kiwi,3,0
Banana,Lemon,4,0
Banana,Lime,2,0
Banana,Mandragora,-3,0
Banana,Mango,2,0
Banana,Mayonnaise,-1,0
Banana,Milk,1,0
Banana,Nori,-1,1
Banana,Nutmeg,1,0
Banana,Nuts,1,0
Banana,Onion,-1,0
Banana,Orange,2,0
Banana,Papaya,2,0
Banana,Peach,3,0
Banana,Pear,3,0
Banana,Pineapple,2,0
Banana,Pomegranate,2,0
Banana,Rice,2,1
Banana,Salt,-1,1
Banana,Strawberry,3,0
Banana,Tea,-1,0
Banana,Vanilla,1,0
Banana,Vinegar,-3,0
Banana,Wasabi,-1,0
Banana,Wheat,1,0
Banana,Yogurt,1,0
Blackthorn,Bones,-2,0
Blackthorn,Eye,-2,0
Blackthorn,FishBone,-2,0
Blackthorn,Honey,2,0
Blackthorn,Mandragora,-3,0
Blackthorn,Milk,1,0
Blackthorn,Sugar,1,0
Blueberries,Bones,-2,0
Blueberries,Cinnamon,1,0
Blueberries,Cocoa,1,0
Blueberries,Cream,1,0
Blueberries,Eye,-2,0
Blueberries,FishBone,-2,0
Blueberries,Flour,1,0
Blueberries,Garlic,-1,0
Blueberries,Ice,1,0
Blueberries,Malt,1,0
Blueberries,Mandragora,-3,0
Blueberries,Mayonnaise,-1,0
Blueberries,Melon,2,0
Blueberries,Milk,1,0
Blueberries,Nori,-1,0
Blueberries,Nutmeg,1,0
Blueberries,Pomegranate,2,0
Blueberries,Pumpkin,1,0
Blueberries,Salad,1,0
Blueberries,Strawberry,2,0
Blueberries,Sugar,1,0
Blueberries,Vanilla,1,0
Blueberries,Vinegar,-1,0
Blueberries,Wasabi,-1,0
Blueberries,Watermelon,2,0
Blueberries,Wheat,1,0
Blueberries,Yogurt,2,0
Cherry,Apple,3,1
Cherry,Banana,2,1
Cherry,Bones,-2,0
Cherry,Cinnamon,1,0
Cherry,Cocoa,1,0
Cherry,Cream,1,0
Cherry,Eye,-2,0
Cherry,FishBone,-2,0
Cherry,Flour,1,1
Cherry,Garlic,-1,0
Cherry,Gooseberry,3,0
Cherry,Ice,1,0
Cherry,Kiwi,2,0
Cherry,Lemon,2,0
Cherry,Lime,2,0
Cherry,Malt,1,0
Cherry,Mandragora,-3,0
Cherry,Mayonnaise,-1,0
Cherry,Milk,1,0
Cherry,Nori,-1,1
Cherry,Nutmeg,1,0
Cherry,Pumpkin,1,0
Cherry,Salad,1,0
Cherry,Salt,-1,1
Cherry,Sugar,1,0
Cherry,Vanilla,1,0
Cherry,Vinegar,-1,0
Cherry,Wasabi,-1,0
Cherry,Watermelon,2,0
Cherry,Wheat,1,0
Cherry,Yogurt,2,0
Coconut,Apple,2,0
Coconut,Banana,2,0
Coconut,Basil,1,0
Coconut,Bones,-2,0
Coconut,Eye,-2,0
Coconut,FishBone,-2,0
Coconut,Flour,1,0
Coconut,Ginger,2,0
Coconut,Kiwi,2,0
Coconut,Lemon,3,0
Coconut,Lemongrass,1,0
Coconut,Lime,3,0
Coconut,Mandragora,-3,0
Coconut,Mango,2,0
Coconut,Nuts,2,0
Coconut,Orange,3,0
Coconut,Pineapple,2,0
Coconut,Pomegranate,2,0
Coconut,Rice,2,0
Coconut,Salt,-1,0
Coconut,Strawberry,2,0
Coconut,Water,1,0
Coconut,Wheat,1,0
Coconut,Yogurt,1,0
GrapesGreen,Apple,2,0
GrapesGreen,Banana,1,0
GrapesGreen,Bones,-2,0
GrapesGreen,Broccoli,-3,0
GrapesGreen,Cinnamon,1,0
GrapesGreen,Cocoa,1,0
GrapesGreen,Cream,1,0
GrapesGreen,Eye,-2,0
GrapesGreen,FishBone,-2,0
GrapesGreen,Flour,1,0
GrapesGreen,Garlic,-1,0
GrapesGreen,Gooseberry,2,0
GrapesGreen,Ice,1,0
GrapesGreen,Malt,1,0
GrapesGreen,Mandragora,-3,0
GrapesGreen,Mayonnaise,-1,0
GrapesGreen,Melon,2,0
GrapesGreen,Milk,1,0
GrapesGreen,Nori,-1,0
GrapesGreen,Nutmeg,1,0
GrapesGreen,Plums,2,0
GrapesGreen,Pumpkin,1,0
GrapesGreen,Salad,1,0
GrapesGreen,Salt,-2,0
GrapesGreen,Sugar,1,0
GrapesGreen,Vanilla,1,0
GrapesGreen,Vinegar,-1,0
GrapesGreen,Wasabi,-1,0
GrapesGreen,Watermelon,2,0
GrapesGreen,Wheat,1,0
GrapesGreen,Yogurt,2,0
GrapesRed,Apple,2,0
GrapesRed,Banana,1,0
GrapesRed,Bones,-2,0
GrapesRed,Broccoli,-3,0
GrapesRed,Cinnamon,1,0
GrapesRed,Cocoa,1,0
GrapesRed,Cream,1,0
GrapesRed,Eye,-2,0
GrapesRed,FishBone,-2,0
GrapesRed,Flour,1,0
GrapesRed,Garlic,-1,0
GrapesRed,Ice,1,0
GrapesRed,Malt,1,0
GrapesRed,Mandragora,-3,0
GrapesRed,Mayonnaise,-1,0
GrapesRed,Melon,2,0
GrapesRed,Milk,1,0
GrapesRed,Nori,-1,0
GrapesRed,Nutmeg,1,0
GrapesRed,Plums,2,0
GrapesRed,Pumpkin,1,0
GrapesRed,Salad,1,0
GrapesRed,Salt,-2,0
GrapesRed,Sugar,1,0
GrapesRed,Vanilla,1,0
GrapesRed,Vinegar,-1,0
GrapesRed,Wasabi,-1,0
GrapesRed,Watermelon,2,0
GrapesRed,Wheat,1,0
GrapesRed,Yogurt,2,0
Kiwi,Apple,1,0
Kiwi,Banana,3,0
Kiwi,Bones,-2,0
Kiwi,Cherry,2,0
Kiwi,Cinnamon,1,0
Kiwi,Cocoa,1,0
Kiwi,Coconut,2,0
Kiwi,Cream,1,0
Kiwi,Eye,-2,0
Kiwi,FishBone,-2,0
Kiwi,Flour,1,0
Kiwi,Garlic,-1,0
Kiwi,Gooseberry,1,0
Kiwi,Ice,1,0
Kiwi,Lemon,2,0
Kiwi,Lime,2,0
Kiwi,Malt,1,0
Kiwi,Mandragora,-3,0
Kiwi,Mango,3,0
Kiwi,Mayonnaise,-1,0
Kiwi,Milk,1,0
Kiwi,Nori,-1,0
Kiwi,Nutmeg,1,0
Kiwi,Orange,2,0
Kiwi,Pineapple,2,0
Kiwi,Pumpkin,1,0
Kiwi,Salad,1,0
Kiwi,Strawberry,2,0
Kiwi,Sugar,1,0
Kiwi,Vanilla,1,0
Kiwi,Vinegar,-1,0
Kiwi,Wasabi,-1,0
Kiwi,Watermelon,2,0
Kiwi,Wheat,1,0
Kiwi,Yogurt,2,0
Lemon,Apple,2,0
Lemon,Avocado,3,0
Lemon,Banana,4,0
Lemon,Beans,2,0
Lemon,Beef,1,0
Lemon,Bones,-2,0
Lemon,Broccoli,2,0
Lemon,Butter,3,0
Lemon,Carp,2,0
Lemon,Carrot,1,0
Lemon,Cherry,2,0
Lemon,Chicken,2,0
Lemon,Coconut,3,0
Lemon,Duck,1,0
Lemon,Eye,-2,0
Lemon,FishBone,-2,0
Lemon,Flour,1,0
Lemon,FuguFish,2,0
Lemon,Garlic,3,0
Lemon,Ginger,1,0
Lemon,Honey,5,0
Lemon,Kiwi,2,0
Lemon,Lamb,2,0
Lemon,Lobster,3,0
Lemon,Makarel,2,0
Lemon,Malt,2,0
Lemon,Mandragora,-3,0
Lemon,Meat,1,0
Lemon,Milk,-4,0
Lemon,Onion,1,0
Lemon,Oysters,2,0
Lemon,Pear,2,0
Lemon,Piranha,1,0
Lemon,Pork,1,0
Lemon,Rice,1,0
Lemon,Salad,2,0
Lemon,Salmon,2,0
Lemon,Shrimp,7,0
Lemon,Strawberry,3,0
Lemon,Tea,4,0
Lemon,Water,2,0
Lemon,Wheat,1,0
Lime,Apple,2,0
Lime,Avocado,4,0
Lime,Banana,2,0
Lime,Beans,2,0
Lime,Bones,-2,0
Lime,Broccoli,2,0
Lime,Butter,2,0
Lime,Carp,2,0
Lime,Cherry,2,0
Lime,Chicken,3,0
Lime,Coconut,3,0
Lime,Eye,-2,0
Lime,FishBone,-2,0
Lime,Flour,1,0
Lime,FuguFish,2,0
Lime,Garlic,3,0
Lime,Ginger,2,0
Lime,Kiwi,2,0
Lime,Lamb,2,0
Lime,Lobster,3,0
Lime,Makarel,2,0
Lime,Malt,2,0
Lime,Mandragora,-3,0
Lime,Meat,1,0
Lime,Milk,-4,0
Lime,Oysters,2,0
Lime,Pear,2,0
Lime,Piranha,1,0
Lime,Pork,1,0
Lime,Rice,1,0
Lime,Salad,2,0
Lime,Salmon,2,0
Lime,Shrimp,4,0
Lime,Strawberry,1,0
Lime,Tea,1,0
Lime,Tomato,1,0
Lime,Water,2,0
Mango,Banana,2,0
Mango,Bones,-2,0
Mango,Cinnamon,1,0
Mango,Cocoa,1,0
Mango,Coconut,2,0
Mango,Cream,1,0
Mango,Eye,-2,0
Mango,FishBone,-2,0
Mango,Flour,1,0
Mango,Garlic,-1,0
Mango,Ice,1,0
Mango,Kiwi,3,0
Mango,Malt,1,0
Mango,Mandragora,-3,0
Mango,Mayonnaise,-1,0
Mango,Melon,2,0
Mango,Milk,1,0
Mango,Nori,-1,0
Mango,Nutmeg,1,0
Mango,Papaya,5,0
Mango,Peach,3,0
Mango,Pepper,2,0
Mango,Pineapple,2,0
Mango,Pomegranate,2,0
Mango,Pork,1,0
Mango,Pumpkin,1,0
Mango,RedPepper,2,0
Mango,Salad,1,0
Mango,Salt,-2,0
Mango,Strawberry,2,0
Mango,Sugar,1,0
Mango,Vanilla,1,0
Mango,Vinegar,-1,0
Mango,Wasabi,-1,0
Mango,Wheat,1,0
Mango,Yogurt,2,0
Melon,Apple,2,0
Melon,Blueberries,2,0
Melon,Bones,-2,0
Melon,Cream,2,0
Melon,Eye,-2,0
Melon,FishBone,-2,0
Melon,Garlic,-2,0
Melon,GrapesGreen,2,0
Melon,GrapesRed,2,0
Melon,Malt,1,0
Melon,Mandragora,-3,0
Melon,Mango,2,0
Melon,Mayonnaise,-2,0
Melon,Nuts,1,0
Melon,Onion,-2,0
Melon,Papaya,2,0
Melon,Peach,2,0
Melon,Plums,2,0
Melon,Salt,-3,0
Melon,Vanilla,2,0
Melon,Vinegar,-1,0
Melon,Wasabi,-2,0
Orange,Apple,1,0
Orange,Banana,2,0
Orange,Bones,-2,0
Orange,Cinnamon,1,0
Orange,Cocoa,1,0
Orange,Coconut,3,0
Orange,Cream,1,0
Orange,Eye,-2,0
Orange,FishBone,-2,0
Orange,Flour,1,0
Orange,Garlic,-1,0
Orange,Gooseberry,2,0
Orange,Ice,1,0
Orange,Kiwi,2,0
Orange,Malt,1,0
Orange,Mandragora,-3,0
Orange,Mayonnaise,-1,0
Orange,Milk,1,0
Orange,Nori,-1,0
Orange,Nutmeg,1,0
Orange,Papaya,3,0
Orange,Peach,3,0
Orange,Pineapple,2,0
Orange,Pomegranate,2,0
Orange,Pumpkin,1,0
Orange,Salad,1,0
Orange,Salt,-2,0
Orange,Strawberry,2,0
Orange,Sugar,1,0
Orange,Vanilla,1,0
Orange,Vinegar,-1,0
Orange,Wasabi,-1,0
Orange,Wheat,1,0
Orange,Yogurt,2,0
Papaya,Apple,2,0
Papaya,Banana,2,0
Papaya,Bones,-2,0
Papaya,Cinnamon,1,0
Papaya,Cocoa,1,0
Papaya,Cream,1,0
Papaya,Eye,-2,0
Papaya,FishBone,-2,0
Papaya,Flour,1,0
Papaya,Garlic,-1,0
Papaya,Ice,1,0
Papaya,Malt,1,0
Papaya,Mandragora,-3,0
Papaya,Mango,5,0
Papaya,Mayonnaise,-1,0
Papaya,Melon,2,0
Papaya,Milk,1,0
Papaya,Nori,-1,0
Papaya,Nutmeg,1,0
Papaya,Orange,3,0
Papaya,Pear,2,0
Papaya,Pineapple,2,0
Papaya,Pork,1,0
Papaya,Pumpkin,1,0
Papaya,Salad,1,0
Papaya,Sugar,1,0
Papaya,Vanilla,1,0
Papaya,Vinegar,-1,0
Papaya,Wasabi,-1,0
Papaya,Watermelon,3,0
Papaya,Wheat,1,0
Papaya,Yogurt,2,0
Peach,Banana,3,0
Peach,Bones,-2,0
Peach,Cinnamon,1,0
Peach,Cocoa,1,0
Peach,Cream,1,0
Peach,Eye,-2,0
Peach,FishBone,-2,0
Peach,Flour,1,0
Peach,Garlic,-1,0
Peach,Gooseberry,3,0
Peach,Ice,1,0
Peach,Malt,1,0
Peach,Mandragora,-3,0
Peach,Mango,3,0
Peach,Mayonnaise,-1,0
Peach,Melon,2,0
Peach,Milk,1,0
Peach,Nori,-1,0
Peach,Nutmeg,1,0
Peach,Orange,3,0
Peach,Pineapple,3,0
Peach,Plums,2,0
Peach,Pork,1,0
Peach,Pumpkin,1,0
Peach,Salad,1,0
Peach,Strawberry,2,0
Peach,Sugar,1,0
Peach,Vanilla,1,0
Peach,Vinegar,-1,0
Peach,Wasabi,-1,0
Peach,Watermelon,2,0
Peach,Wheat,1,0
Peach,Yogurt,3,0
Pear,Banana,3,0
Pear,Bones,-2,0
Pear,Cinnamon,1,0
Pear,Cocoa,1,0
Pear,Cream,1,0
Pear,Eye,-2,0
Pear,FishBone,-2,0
Pear,Flour,1,0
Pear,Garlic,-1,0
Pear,Gooseberry,2,0
Pear,Ice,1,0
Pear,Lemon,2,0
Pear,Lime,2,0
Pear,Mandragora,-3,0
Pear,Mayonnaise,-1,0
Pear,Milk,1,0
Pear,Nori,-1,0
Pear,Nutmeg,1,0
Pear,Papaya,2,0
Pear,Pumpkin,1,0
Pear,Salad,1,0
Pear,Sugar,1,0
Pear,Vanilla,1,0
Pear,Vinegar,-1,0
Pear,Wasabi,-1,0
Pear,Wheat,1,0
Pineapple,Avocado,3,0
Pineapple,Banana,2,0
Pineapple,Bones,-2,0
Pineapple,Cinnamon,1,0
Pineapple,Cocoa,1,0
Pineapple,Coconut,2,0
Pineapple,Cream,1,0
Pineapple,Eye,-2,0
Pineapple,FishBone,-2,0
Pineapple,Flour,1,0
Pineapple,Garlic,-1,0
Pineapple,Gooseberry,3,0
Pineapple,Ice,1,0
Pineapple,Kiwi,2,0
Pineapple,Mandragora,-3,0
Pineapple,Mango,2,0
Pineapple,Mayonnaise,-1,0
Pineapple,Milk,1,0
Pineapple,Nori,-1,0
Pineapple,Nutmeg,1,0
Pineapple,Orange,2,0
Pineapple,Papaya,2,0
Pineapple,Peach,3,0
Pineapple,Pumpkin,1,0
Pineapple,Salad,1,0
Pineapple,Strawberry,2,0
Pineapple,Sugar,1,0
Pineapple,Vanilla,1,0
Pineapple,Vinegar,-1,0
Pineapple,Wasabi,-1,0
Pineapple,Wheat,1,0
Plums,Bones,-2,0
Plums,Cinnamon,1,0
Plums,Cocoa,1,0
Plums,Cream,1,0
Plums,Eye,-2,0
Plums,FishBone,-2,0
Plums,Garlic,-1,0
Plums,GrapesGreen,2,0
Plums,GrapesRed,2,0
Plums,Ice,1,0
Plums,Mandragora,-3,0
Plums,Mayonnaise,-1,0
Plums,Melon,2,0
Plums,Milk,1,0
Plums,Nori,-1,0
Plums,Nutmeg,1,0
Plums,Onion,-2,0
Plums,Peach,2,0
Plums,Pumpkin,1,0
Plums,Salad,1,0
Plums,Sugar,1,0
Plums,Vanilla,1,0
Plums,Vinegar,-1,0
Plums,Wasabi,-1,0
Pomegranate,Apple,2,0
Pomegranate,Banana,2,0
Pomegranate,Blueberries,2,0
Pomegranate,Bones,-2,0
Pomegranate,Cinnamon,1,0
Pomegranate,Cocoa,1,0
Pomegranate,Coconut,2,0
Pomegranate,Cream,1,0
Pomegranate,Eye,-2,0
Pomegranate,FishBone,-2,0
Pomegranate,Flour,1,0
Pomegranate,Garlic,-1,0
Pomegranate,Gooseberry,1,0
Pomegranate,Ice,1,0
Pomegranate,Malt,1,0
Pomegranate,Mandragora,-3,0
Pomegranate,Mango,2,0
Pomegranate,Mayonnaise,-1,0
Pomegranate,Milk,1,0
Pomegranate,Nori,-1,0
Pomegranate,Nutmeg,1,0
Pomegranate,Orange,2,0
Pomegranate,Pumpkin,1,0
Pomegranate,Salad,1,0
Pomegranate,Sugar,1,0
Pomegranate,Vanilla,1,0
Pomegranate,Vinegar,-1,0
Pomegranate,Wasabi,-1,0
Pomegranate,Wheat,1,0
Pomegranate,Yogurt,2,0
Strawberry,Banana,3,0
Strawberry,Blueberries,2,0
Strawberry,Bones,-2,0
Strawberry,Cinnamon,1,0
Strawberry,Cocoa,1,0
Strawberry,Coconut,2,0
Strawberry,Cream,4,0
Strawberry,Eye,-2,0
Strawberry,FishBone,-2,0
Strawberry,Flour,1,0
Strawberry,Garlic,-1,0
Strawberry,Gooseberry,1,0
Strawberry,Ice,1,0
Strawberry,Kiwi,2,0
Strawberry,Lemon,3,0
Strawberry,Lime,1,0
Strawberry,Malt,2,0
Strawberry,Mandragora,-3,0
Strawberry,Mango,2,0
Strawberry,Mayonnaise,-1,0
Strawberry,Milk,4,0
Strawberry,Nori,-1,0
Strawberry,Nutmeg,1,0
Strawberry,Onion,-2,0
Strawberry,Orange,2,0
Strawberry,Peach,2,0
Strawberry,Pineapple,2,0
Strawberry,Pumpkin,1,0
Strawberry,Salad,1,0
Strawberry,Sugar,1,0
Strawberry,Vanilla,1,0
Strawberry,Vinegar,-1,0
Strawberry,Wasabi,-1,0
Strawberry,Wheat,1,0
Strawberry,Yogurt,2,0
Gooseberry,Apple,2,0
Gooseberry,Bones,-2,0
Gooseberry,Cherry,3,0
Gooseberry,Cocoa,1,0
Gooseberry,Cream,3,0
Gooseberry,Eye,-2,0
Gooseberry,FishBone,-2,0
Gooseberry,GrapesGreen,2,0
Gooseberry,Kiwi,1,0
Gooseberry,Mandragora,-3,0
Gooseberry,Milk,1,0
Gooseberry,Orange,2,0
Gooseberry,Peach,3,0
Gooseberry,Pear,2,0
Gooseberry,Pineapple,3,0
Gooseberry,Pomegranate,1,0
Gooseberry,Strawberry,1,0
Gooseberry,Vinegar,-1,0
Gooseberry,Water,1,0
Gooseberry,Yogurt,2,0
Watermelon,Apple,2,0
Watermelon,Blueberries,2,0
Watermelon,Bones,-2,0
Watermelon,Cherry,2,0
Watermelon,Cream,2,0
Watermelon,Eye,-2,0
Watermelon,FishBone,-2,0
Watermelon,Garlic,-2,0
Watermelon,GrapesGreen,2,0
Watermelon,GrapesRed,2,0
Watermelon,Kiwi,2,0
Watermelon,Malt,1,0
Watermelon,Mandragora,-3,0
Watermelon,Mayonnaise,-2,0
Watermelon,Nuts,1,0
Watermelon,Onion,-2,0
Watermelon,Papaya,3,0
Watermelon,Peach,2,0
Watermelon,Salt,-3,0
Watermelon,Vanilla,2,0
Watermelon,Vinegar,-1,0
Watermelon,Wasabi,-2,0
Algae,Beans,3,0
Algae,BellPepper,1,0
Algae,Cabbage,2,0
Algae,Corn,1,0
Algae,Cucumber,2,0
Algae,Eggplant,2,0
Algae,Flour,2,0
Algae,GreenOnion,1,0
Algae,Ice,-2,0
Algae,Mandragora,-3,0
Algae,Oil,2,0
Algae,Rice,3,0
Algae,Tea,1,0
Algae,Wheat,-1,0
Algae,Yeast,-2,0
Asparagus,Beef,2,0
Asparagus,Butter,3,0
Asparagus,Carp,1,0
Asparagus,Cheese,2,0
Asparagus,Chicken,3,0
Asparagus,Garlic,3,0
Asparagus,Lamb,3,0
Asparagus,Lobster,2,0
Asparagus,Mandragora,-3,0
Asparagus,Mushroom,2,0
Asparagus,Nuts,3,0
Asparagus,Potato,2,0
Asparagus,Salmon,2,0
Asparagus,Salt,2,0
Beans,Algae,3,0
Beans,Avocado,3,0
Beans,Beef,1,0
Beans,BellPepper,2,0
Beans,Broccoli,2,0
Beans,Butter,3,0
Beans,Cheese,3,0
Beans,Corn,2,0
Beans,Dill,2,0
Beans,Garlic,2,0
Beans,Lemon,2,0
Beans,Lime,2,0
Beans,Mandragora,-3,0
Beans,Oil,1,1
Beans,Onion,2,0
Beans,Paprika,1,0
Beans,Pepper,2,1
Beans,RedPepper,3,0
Beans,Rice,2,1
Beans,Salt,2,1
Beans,Tomato,3,1
Beans,Vanilla,1,0
Beans,Vinegar,2,0
Beans,Water,2,1
Beet,Butter,2,0
Beet,Cheese,2,0
Beet,Duck,2,0
Beet,Honey,2,0
Beet,Mandragora,-3,0
Beet,Nuts,2,0
Beet,Oil,1,0
Beet,Salad,3,0
Beet,Vanilla,1,0
BellPepper,Algae,1,0
BellPepper,Avocado,2,0
BellPepper,Beans,2,0
BellPepper,Cheese,2,0
BellPepper,Coffee,-4,0
BellPepper,Corn,1,0
BellPepper,Garlic,2,0
BellPepper,Mandragora,-3,0
BellPepper,Mushroom,1,0
BellPepper,Onion,5,0
BellPepper,Rice,4,0
BellPepper,Salt,1,0
BellPepper,Tea,-4,0
BellPepper,Tomato,2,0
